Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
JIIDX,8.8,2017/08/03,20:00 EDT,0.06,,,,,,,,,,,
FICIX,11.73,2017/08/04,17:44 EDT,0.08,,,,,,,,,,,
FEJCQX,9.7914,2017/08/04,17:00 EDT,0.0668,,,,,,,,,,,
CFINEX,12.4259,2017/08/04,17:23 EDT,0.0848,,,,,,,,,,,
FOPAFX,10.2092,2017/08/04,17:14 EDT,0.0697,0.0,0.0,0.0,0,,,,,,,
IHSAX,19.04,2017/08/04,17:26 EDT,0.13,,,,,,,,,,,
FCORWX,10.0869,2016/12/08,18:45 EST,0.06890011,,,,,,,,,,,
CCMAX,11.71,2016/05/23,06:15 EDT,0.08,,,,,,,,,,,
FTEDAX,7.9143,2014/12/03,20:01 EST,0.0541,,,,,,,,,,,
SFPAX,10.24,2017/08/04,17:31 EDT,0.07,,,,,,,,,,,
INWMLX,8.9055,2016/12/28,20:01 EST,0.0609,,,,,,,,,,,
CSYIX,36.55,2017/03/24,20:00 EDT,0.25,,,,,,,,,,,
BRTNX,26.31,2017/08/04,17:20 EDT,0.18,,,,,,,,,,,
CMECX,11.66,2016/05/23,05:36 EDT,0.08,,,,,,,,,,,
RDPSX,24.77,2017/08/04,17:40 EDT,0.17,,,,,,,,,,,
AMRNJX,9.4701,2017/08/04,17:14 EDT,0.065,,,,,,,,,,,
FEVRMX,12.1344,2017/08/03,20:01 EDT,0.0833,,,,,,,,,,,
GTPAIX,13.2234,2017/08/04,17:14 EDT,0.0908,,,,,,,,,,,
FOEKTX,9.3925,2015/03/04,20:01 EST,0.0645,,,,,,,,,,,
HRMGX,10.19,2017/08/04,17:34 EDT,0.07,,,,,,,,,,,
GBMLGX,12.7038,2017/08/04,17:14 EDT,0.0873,,,,,,,,,,,
SDVIX,16.0,2015/10/23,18:45 EDT,0.10999966,,,,,,,,,,,
SPWCX,16.03,2017/08/04,17:49 EDT,0.03,,,,,,,,,,,
FDTMPX,10.1944,2017/08/04,17:00 EDT,0.0701,0.0,0.0,0.0,0,,,,,,,
ESFIX,10.17,2017/08/03,20:00 EDT,0.07,,,,,,,,,,,
FINMX,13.07,2017/08/03,20:00 EDT,0.09,,,,,,,,,,,
CENPVX,8.1303,2017/08/04,17:23 EDT,0.056,,,,,,,,,,,
TPMIX,11.61,2015/08/28,18:36 EDT,0.07999992,,,,,,,,,,,
GTTIX,23.22,2017/08/04,17:31 EDT,0.16,,,,,,,,,,,
BACSX,10.15,2017/08/04,17:30 EDT,0.07,,,,,,,,,,,
ETILX,30.43,2017/08/04,16:55 EDT,0.21,,,,,,,,,,,
JMICX,8.66,2017/08/04,17:48 EDT,-0.03,,,,,,,,,,,
GABTX,23.17,2017/08/04,17:31 EDT,0.16,,,,,,,,,,,
DILCX,11.58,2017/08/04,17:27 EDT,0.08,,,,,,,,,,,
FPDKGX,10.0991,2017/02/03,20:01 EST,0.0698,,,,,,,,,,,
IHSSX,21.66,2017/08/04,17:26 EDT,0.15,,,,,,,,,,,
BACAX,10.1,2017/08/04,17:30 EDT,0.07,,,,,,,,,,,
TSLRX,11.54,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
TPMAX,11.53,2015/08/28,18:36 EDT,0.07999992,,,,,,,,,,,
DILBX,11.53,2017/08/04,17:27 EDT,0.08,,,,,,,,,,,
IHSVX,23.05,2017/08/04,17:26 EDT,0.16,,,,,,,,,,,
IDEUIX,8.20295,2015/05/29,09:13 EDT,0.056949615,,,,,,,,,,,
FREWOX,11.563,2017/04/06,20:01 EDT,0.0803,,,,,,,,,,,
BOTSX,17.26,2017/08/04,17:15 EDT,0.12,,,,,,,,,,,
CCFRX,11.5,2016/05/23,06:15 EDT,0.08,,,,,,,,,,,
INNHAX,11.2311,2016/12/28,20:01 EST,0.0782,,,,,,,,,,,
JEESX,14.34,2017/08/04,17:43 EDT,0.1,,,,,,,,,,,
BGEPX,16.9347,2017/08/03,20:00 EDT,0.1181,,,,,,,,,,,
TRSLX,11.47,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
TSLIX,11.47,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
FWRTVX,9.6744,2017/08/04,17:00 EDT,0.0675,,,,,,,,,,,
RWGIX,18.63,2017/08/04,17:16 EDT,0.13,,,,,,,,,,,
EGAIX,10.03,2016/06/21,15:17 EDT,0.07,,,,,,,,,,,
CTIPAX,8.9553,2015/08/26,20:01 EDT,0.0625,,,,,,,,,,,
FUTSPX,10.3304,2015/09/09,20:01 EDT,0.0721,,,,,,,,,,,
IFINIX,10.0001,2017/08/04,17:26 EDT,0.0698,,,,,,,,,,,
TSLFX,11.46,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
FEBNCX,8.6066,2016/12/29,20:01 EST,0.0601,,,,,,,,,,,
DXELX,51.55,2017/08/04,17:31 EDT,0.36,,,,,,,,,,,
EGACX,10.02,2016/06/21,15:17 EDT,0.07,,,,,,,,,,,
GTPAJX,12.7378,2017/08/04,17:14 EDT,0.089,,,,,,,,,,,
FSWGUX,9.9268,2017/02/03,20:01 EST,0.0694,,,,,,,,,,,
FGTCRX,11.883,2017/04/06,20:01 EDT,0.0831,,,,,,,,,,,
CRSGX,18.58,2017/08/04,17:08 EDT,0.13,,,,,,,,,,,
FNIEZX,10.8804,2014/12/15,20:01 EST,0.0762,,,,,,,,,,,
DGMIX,12.84,2017/08/04,17:34 EDT,0.09,,,,,,,,,,,
DGMMX,12.84,2017/08/04,17:34 EDT,0.09,,,,,,,,,,,
GBMLIX,12.0807,2017/08/04,17:14 EDT,0.0847,,,,,,,,,,,
ESFCX,9.98,2017/08/03,20:00 EDT,0.07,,,,,,,,,,,
COZAX,21.38,2017/08/04,17:18 EDT,0.15,,,,,,,,,,,
ROFKX,11.4,2017/08/04,17:08 EDT,0.08,,,,,,,,,,,
TSLWX,11.4,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
CANOX,8.55,2017/08/03,20:00 EDT,0.06,,,,,,,,,,,
