RESULT_COUNT: 3074,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
AGNCB,AGNCB:UW,,2017-02-27,25.568,25.65,25.54,25.65,9113.0,0.0,1.0,25.568,25.65,25.54,25.65,9113.0
AGNCP,AGNCP:UW,,2017-02-27,25.65,25.7013,25.51,25.6395,5397.0,0.0,1.0,25.65,25.7013,25.51,25.6395,5397.0
AGND,AGND:US,BBG005Q26730,2017-02-27,43.69,43.775,43.47,43.775,891.0,0.0,1.0,43.268307218089,43.3524868041165,43.0504306424887,43.3524868041165,891.0
AGRX,AGRX:US,BBG000PZHFB0,2017-02-27,2.23,2.3001,2.15,2.29,90649.0,0.0,1.0,2.23,2.3001,2.15,2.29,90649.0
AGTC,AGTC:US,BBG005TVPCW9,2017-02-27,7.3,8.05,7.3,7.95,174503.0,0.0,1.0,7.3,8.05,7.3,7.95,174503.0
AGYS,AGYS:UW,BBG000BR7GZ6,2017-02-27,9.27,9.54,9.215,9.32,64771.0,0.0,1.0,9.27,9.54,9.215,9.32,64771.0
AGZD,AGZD:US,BBG005Q26B40,2017-02-27,48.01,48.01,48.01,48.01,260.0,0.0,1.0,47.5425858484872,47.5425858484872,47.5425858484872,47.5425858484872,260.0
AHGP,AHGP:UW,BBG000BRPF88,2017-02-27,29.45,30.28,29.45,29.62,40527.0,0.0,1.0,28.9100833333333,29.7248666666667,28.9100833333333,29.0769666666667,40527.0
AHPI,AHPI:US,BBG000C2RD58,2017-02-27,2.0201,2.0635,1.93,1.98,23484.0,0.0,1.0,2.0201,2.0635,1.93,1.98,23484.0
AIA,AIA:US,BBG000TVYW56,2017-02-27,51.09,51.09,50.9,50.93,25836.0,0.0,1.0,51.09,51.09,50.9,50.93,25836.0
AIMC,AIMC:UW,BBG000Q26VL8,2017-02-27,46.9,46.9,39.7,41.0,337628.0,0.0,1.0,46.5361637324131,46.5361637324131,39.3920191935352,40.6819341797215,337628.0
AIMT,AIMT:UW,BBG009K7J3X9,2017-02-27,19.67,21.17,19.56,21.03,633205.0,0.0,1.0,19.67,21.17,19.56,21.03,633205.0
AINV,AINV:UW,BBG000CBQ7G0,2017-02-27,6.25,6.34,6.19,6.32,938403.0,0.0,1.0,5.96464975702264,6.05054071352376,5.90738911935522,6.03145383430129,938403.0
AIQ,AIQ:US,BBG000C2TB32,2017-02-27,10.35,10.4,10.3,10.4,5307.0,0.0,1.0,10.35,10.4,10.3,10.4,5307.0
AIRG,AIRG:US,BBG0026ZDGG4,2017-02-27,13.28,13.39,13.1336,13.24,216923.0,0.0,1.0,13.28,13.39,13.1336,13.24,216923.0
AIRM,AIRM:UW,BBG000CN3MW8,2017-02-27,38.0,38.4,38.0,38.2,478108.0,0.0,1.0,38.0,38.4,38.0,38.2,478108.0
AIRR,AIRR:US,BBG0063G4FW4,2017-02-27,24.25,24.57,23.7449,24.54,39450.0,0.0,1.0,24.25,24.57,23.7449,24.54,39450.0
AIRT,AIRT:US,BBG000BBH316,2017-02-27,21.95,21.95,21.25,21.75,1125.0,0.0,1.0,21.95,21.95,21.25,21.75,1125.0
AKAM,AKAM:UW,BBG000BJR6K0,2017-02-27,62.76,63.115,62.46,62.86,861775.0,0.0,1.0,62.76,63.115,62.46,62.86,861775.0
AKAO,AKAO:US,BBG000R4TCP6,2017-02-27,23.47,24.1,23.2,23.68,623317.0,0.0,1.0,23.47,24.1,23.2,23.68,623317.0
AKBA,AKBA:US,BBG000R33R00,2017-02-27,9.91,10.24,9.91,10.15,229346.0,0.0,1.0,9.91,10.24,9.91,10.15,229346.0
AKER,AKER:US,BBG000RP05T1,2017-02-27,1.3,1.3,1.25,1.3,11205.0,0.0,1.0,1.3,1.3,1.25,1.3,11205.0
AKRX,AKRX:UW,BBG000BBJN38,2017-02-27,21.18,22.17,21.03,22.08,1227972.0,0.0,1.0,21.18,22.17,21.03,22.08,1227972.0
AKTX,AKTX:US,BBG003PMV495,2017-02-27,6.44,6.69,6.4,6.4,7356.0,0.0,1.0,6.44,6.69,6.4,6.4,7356.0
ALBO,ALBO:US,BBG000QFLCK5,2017-02-27,24.3,25.78,24.1503,25.78,15080.0,0.0,1.0,24.3,25.78,24.1503,25.78,15080.0
ALCO,ALCO:UW,BBG000BBK0L6,2017-02-27,25.8,25.95,25.6,25.75,7179.0,0.0,1.0,25.6923701881001,25.8417444333798,25.4932045277273,25.6425787730069,7179.0
ALDR,ALDR:US,BBG0027DTTL1,2017-02-27,21.9,23.575,21.9,23.5,726541.0,0.0,1.0,21.9,23.575,21.9,23.5,726541.0
